Stream Type,F#,HW Timestamp (ms),Backend Timestamp(ms),Host Timestamp(ms),3DOF_x,3DOF_y,3DOF_z
Accel,19504,210115611,1731909270476,1731909270476,-0.206,0.039,9.865
Accel,19505,210125477,1731909270486,1731909270486,-0.196,0.039,9.865
Accel,19506,210135341,1731909270495,1731909270495,-0.186,0.039,9.865
Accel,19507,210145207,1731909270506,1731909270506,-0.186,0.039,9.865
Accel,19508,210155071,1731909270515,1731909270515,-0.186,0.059,9.865
Accel,19509,210164937,1731909270525,1731909270525,-0.196,0.059,9.846
Accel,19510,210174803,1731909270535,1731909270535,-0.177,0.01,9.865
Accel,19511,210184669,1731909270544,1731909270545,-0.098,-0.069,9.865
Accel,19512,210194533,1731909270554,1731909270555,-0.186,0.01,9.885
Accel,19513,210204399,1731909270564,1731909270564,-0.167,-0.01,9.865
Accel,19514,210214263,1731909270574,1731909270574,-0.137,0.0,9.885
Accel,19515,210224129,1731909270584,1731909270584,-0.206,0.059,9.885
Accel,19516,210233993,1731909270594,1731909270594,-0.167,-0.039,9.865
Accel,19517,210243859,1731909270604,1731909270604,-0.167,0.039,9.865
Accel,19518,210253723,1731909270614,1731909270614,-0.157,0.01,9.865
Accel,19519,210263589,1731909270623,1731909270624,-0.157,0.029,9.865
Accel,19520,210273453,1731909270633,1731909270633,-0.196,0.078,9.885
Accel,19521,210283317,1731909270643,1731909270644,-0.167,0.039,9.865
Accel,19522,210293181,1731909270653,1731909270653,-0.343,0.167,9.865
Accel,19523,210303045,1731909270663,1731909270663,-0.167,0.078,9.885
Accel,19524,210312909,1731909270673,1731909270673,-0.235,0.088,9.865
Accel,19525,210322773,1731909270683,1731909270683,-0.226,0.069,9.865
Accel,19526,210332639,1731909270693,1731909270693,-0.226,0.039,9.846
Accel,19527,210342503,1731909270703,1731909270703,-0.226,0.098,9.865
Accel,19528,210352369,1731909270712,1731909270712,-0.226,0.02,9.865
Accel,19529,210362235,1731909270723,1731909270723,-0.275,0.078,9.885
Accel,19530,210372099,1731909270732,1731909270732,-0.275,0.098,9.865
Accel,19531,210381965,1731909270742,1731909270742,-0.255,0.127,9.885
Accel,19532,210391831,1731909270752,1731909270752,-0.186,-0.039,9.865
Accel,19533,210401695,1731909270761,1731909270762,-0.294,0.186,9.885
Accel,19534,210411561,1731909270772,1731909270772,-0.255,0.157,9.865
Accel,19535,210421427,1731909270781,1731909270782,-0.196,0.039,9.865
Accel,19536,210431291,1731909270792,1731909270792,-0.196,0.059,9.865
Accel,19537,210441157,1731909270801,1731909270802,-0.196,0.039,9.865
Accel,19538,210451023,1731909270811,1731909270811,-0.186,0.039,9.865
Accel,19539,210460889,1731909270821,1731909270821,-0.206,0.039,9.865
Accel,19540,210470755,1731909270831,1731909270831,-0.196,0.039,9.865
Accel,19541,210480621,1731909270840,1731909270841,-0.186,0.039,9.846
Accel,19542,210490487,1731909270850,1731909270850,-0.196,0.039,9.865
Accel,19543,210500351,1731909270860,1731909270860,-0.196,0.039,9.865
Accel,19544,210510217,1731909270870,1731909270870,-0.206,0.069,9.865
Accel,19545,210520083,1731909270880,1731909270880,-0.471,0.137,9.865
Accel,19546,210529947,1731909270890,1731909270890,-0.961,0.137,9.846
Accel,19547,210539813,1731909270900,1731909270900,-1.304,0.059,9.865
Accel,19548,210549679,1731909270910,1731909270910,-2.167,-0.177,9.836
